Avsnitt	start	end
Infektionssjukdomar utgående från mag-tarmkanalen	A00	A09
Tuberkulos	A15	A19
Vissa djurburna bakteriesjukdomar	A20	A28
Andra bakteriesjukdomar	A30	A49
Huvudsakligen sexuellt överförda infektioner	A50	A64
Andra spiroketsjukdomar	A65	A69
Andra sjukdomar orsakade av klamydia	A70	A74
Sjukdomar orsakade av rickettsiaarter	A75	A79
Virussjukdomar i centrala nervsystemet	A80	A89
Febersjukdomar orsakade av virus överförda av leddjur och virusorsakade hemorragiska febrar	A92	A99
Virussjukdomar med hudutslag och slemhinneutslag	B00	B09
Virushepatit	B15	B19
Sjukdom orsakad av humant immunbristvirus [HIV]	B20	B24
Andra virussjukdomar	B25	B34
Svampsjukdomar	B35	B49
Protozosjukdomar	B50	B64
Masksjukdomar	B65	B83
Lusangrepp, acarinos (angrepp av kvalster) och andra infestationer	B85	B89
Sena effekter av infektionssjukdomar och parasitsjukdomar	B90	B94
Bakterier, virus och andra infektiösa organismer	B95	B98
Andra infektionssjukdomar	B99	B99
Maligna tumörer i läpp, munhåla och svalg	C00	C14
Maligna tumörer i matsmältningsorganen	C15	C26
Maligna tumörer i andningsorganen och brösthålans organ	C30	C39
Maligna tumörer i ben och ledbrosk	C40	C41
Melanom och andra maligna tumörer i huden	C43	C44
Maligna tumörer i mesotelial (kroppshåletäckande) vävnad och mjukvävnad	C45	C49
Malign tumör i bröstkörtel	C50	C50
Maligna tumörer i de kvinnliga könsorganen	C51	C58
Maligna tumörer i de manliga könsorganen	C60	C63
Maligna tumörer i urinorganen	C64	C68
Maligna tumörer i öga, hjärnan och andra delar av centrala nervsystemet	C69	C72
Maligna tumörer i tyreoidea och andra endokrina körtlar	C73	C75
Maligna tumörer med ofullständigt angivna, sekundära och icke specificerade lokalisationer	C76	C80
Maligna tumörer i lymfatisk, blodbildande och besläktad vävnad	C81	C96
Flera (primära) maligna tumörer med olika utgångspunkter	C97	C97
Cancer in situ (lokalt begränsad cancer utgången från epitel)	D00	D09
Benigna tumörer	D10	D36
Tumörer av osäker eller okänd natur	D37	D48
Nutritionsanemier	D50	D53
Hemolytiska anemier (blodbrist på grund av ökad nedbrytning av röda blodkroppar)	D55	D59
Aplastisk anemi (blodbrist på grund av upphörd eller minskad blodbildning i benmärgen) och andra anemier	D60	D64
Koagulationsrubbningar, purpura (punktformiga blödningar i huden mm) och andra blödningstillstånd	D65	D69
Andra sjukdomar i blod och blodbildande organ	D70	D77
Vissa rubbningar i immunsystemet	D80	D89
Sjukdomar i sköldkörteln	E00	E07
Diabetes mellitus	E10	E14
Andra rubbningar i glukosreglering och bukspottkörtelns inre sekretion	E15	E16
Sjukdomar i andra endokrina körtlar	E20	E35
Näringsbrist	E40	E46
Andra näringsbristtillstånd	E50	E64
Fetma och andra övernäringstillstånd	E65	E68
Ämnesomsättningssjukdomar	E70	E90
Organiska, inklusive symtomatiska, psykiska störningar	F00	F09
Psykiska störningar och beteendestörningar orsakade av psykoaktiva substanser	F10	F19
Schizofreni, schizotypa störningar och vanföreställningssyndrom	F20	F29
Förstämningssyndrom	F30	F39
Neurotiska, stressrelaterade och somatoforma syndrom	F40	F48
Beteendestörningar förenade med fysiologiska rubbningar och fysiska faktorer	F50	F59
Personlighetsstörningar och beteendestörningar hos vuxna	F60	F69
Psykisk utvecklingsstörning	F70	F79
Störningar av psykisk utveckling	F80	F89
Beteendestörningar och emotionella störningar med debut vanligen under barndom och ungdomstid	F90	F98
Ospecificerad psykisk störning	F99	F99
Inflammatoriska sjukdomar i centrala nervsystemet	G00	G09
Systemiska atrofier som primärt engagerar centrala nervsystemet	G10	G14
Basalgangliesjukdomar och rörelserubbningar	G20	G26
Andra degenerativa sjukdomar i nervsystemet	G30	G32
Myelinförstörande sjukdomar i centrala nervsystemet	G35	G37
Episodiska och paroxysmala sjukdomar	G40	G47
Sjukdomar i nerver, nervrötter och nervplexus	G50	G59
Polyneuropatier (samtidig sjukdom i flera perifera nerver) och andra sjukdomar i perifera nervsystemet	G60	G64
Neuromuskulära transmissionsrubbningar (rubbningar i överföring av impulser mellan nerver och muskler) och sjukdomar i muskler	G70	G73
Cerebral pares och andra förlamningssyndrom	G80	G83
Andra sjukdomar i nervsystemet	G90	G99
Sjukdomar i ögonlock, tårapparat och ögonhåla	H00	H06
Sjukdomar i bindehinnan	H10	H13
Sjukdomar i senhinnan, hornhinnan, regnbågshinnan och ciliarkroppen	H15	H22
Sjukdomar i linsen	H25	H28
Sjukdomar i åderhinnan och näthinnan	H30	H36
Glaukom (grön starr)	H40	H42
Sjukdomar i glaskroppen och ögongloben	H43	H45
Sjukdomar i synnerven och synbanorna	H46	H48
Sjukdomar i ögonmusklerna, förändringar i de binokulära rörelserna samt ögats ackommodation och refraktion	H49	H52
Synstörningar och blindhet	H53	H54
Andra sjukdomar i ögat och närliggande organ	H55	H59
Sjukdomar i ytterörat och hörselgången	H60	H62
Sjukdomar i mellanörat och mastoidutskottet	H65	H75
Sjukdomar i innerörat	H80	H83
Andra öronsjukdomar	H90	H95
Akut reumatisk feber	I00	I02
Kroniska reumatiska hjärtsjukdomar	I05	I09
Hypertonisjukdomar (högt blodtryck och därmed sammanhängande sjukdomar)	I10	I15
Ischemiska hjärtsjukdomar (sjukdomar orsakade av otillräcklig blodtillförsel till hjärtmuskeln)	I20	I25
Sjukdomstillstånd inom lungcirkulationen	I26	I28
Andra former av hjärtsjukdom	I30	I52
Sjukdomar i hjärnans kärl	I60	I69
Sjukdomar i artärer, arterioler (småartärer) och kapillärer	I70	I79
Sjukdomar i vener, lymfkärl och lymfkörtlar som ej klassificeras annorstädes	I80	I89
Andra och icke specificerade sjukdomar i cirkulationsorganen	I95	I99
Akuta infektioner i övre luftvägarna	J00	J06
