ICD	ICD.swe	ICD.eng
A00-A09	Infektionssjukdomar utgående från mag-tarmkanalen	Intestinal infectious diseases
A00-B99	NA	Certain infectious and parasitic diseases
A15-A19	Tuberkulos	Tuberculosis
A20-A28	Vissa djurburna bakteriesjukdomar	Certain zoonotic bacterial diseases
A30-A49	Andra bakteriesjukdomar	Other bacterial diseases
A50-A64	Huvudsakligen sexuellt överförda infektioner	Infections with a predominantly sexual mode of transmission
A65-A69	Andra spiroketsjukdomar	Other spirochetal diseases
A70-A74	Andra sjukdomar orsakade av klamydia	Other diseases caused by chlamydiae
A75-A79	Sjukdomar orsakade av rickettsiaarter	Rickettsioses
A80-A89	Virussjukdomar i centrala nervsystemet	Viral and prion infections of the central nervous system
A90-A99	NA	Arthropod-borne viral fevers and viral hemorrhagic fevers
A92-A99	Febersjukdomar orsakade av virus överförda av leddjur och virusorsakade hemorragiska febrar	NA
B00-B09	Virussjukdomar med hudutslag och slemhinneutslag	Viral infections characterized by skin and mucous membrane lesions
B15-B19	Virushepatit	Viral hepatitis
B20-B24	Sjukdom orsakad av humant immunbristvirus [HIV]	NA
B25-B34	Andra virussjukdomar	Other viral diseases
B35-B49	Svampsjukdomar	Mycoses
B50-B64	Protozosjukdomar	Protozoal diseases
B65-B83	Masksjukdomar	Helminthiases
B85-B89	Lusangrepp, acarinos (angrepp av kvalster) och andra infestationer	Pediculosis, acariasis and other infestations
B90-B94	Sena effekter av infektionssjukdomar och parasitsjukdomar	Sequelae of infectious and parasitic diseases
B95-B97	NA	Bacterial and viral infectious agents
B95-B98	Bakterier, virus och andra infektiösa organismer	NA
B99-B99	Andra infektionssjukdomar	NA
C00-C14	Maligna tumörer i läpp, munhåla och svalg	Malignant neoplasms of lip, oral cavity and pharynx
C00-C75	NA	Malignant neoplasms, stated or presumed to be primary (of specified sites), and certain specified histologies, except neuroendocrine, and of lymphoid, hematopoietic and related tissue
C00-C96	NA	Malignant neoplasms
C00-D49	NA	Neoplasms
C15-C26	Maligna tumörer i matsmältningsorganen	Malignant neoplasms of digestive organs
C30-C39	Maligna tumörer i andningsorganen och brösthålans organ	Malignant neoplasms of respiratory and intrathoracic organs
C40-C41	Maligna tumörer i ben och ledbrosk	Malignant neoplasms of bone and articular cartilage
C43-C44	Melanom och andra maligna tumörer i huden	Melanoma and other malignant neoplasms of skin
C45-C49	Maligna tumörer i mesotelial (kroppshåletäckande) vävnad och mjukvävnad	Malignant neoplasms of mesothelial and soft tissue
C50-C50	Malign tumör i bröstkörtel	NA
C51-C58	Maligna tumörer i de kvinnliga könsorganen	Malignant neoplasms of female genital organs
C60-C63	Maligna tumörer i de manliga könsorganen	Malignant neoplasms of male genital organs
